"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Isaac Okoro","Cle","F-G","23.9","20","21.4","10.8","7.1","17","0.647","40","0.5","52","0.462","0.609","0.618","6.2","2.5","1.8","0.8","0.5","0.4","8.6","8","10.4","5.7","133.6","107.4"
"","Jaden Hardy","Dal","G","22.4","21","15","22.6","19.6","24","0.875","71","0.437","56","0.286","0.433","0.476","6.2","1.4","1.3","0.7","0","1.5","7.6","7.5","8.9","6","88.3","107.5"
"","Jonathan Isaac","Orl","F","27.2","20","17","16.1","7.9","28","0.679","50","0.58","55","0.273","0.49","0.52","6.1","4.8","0.3","0.8","1.4","0.5","10.9","6.4","11.1","4.9","110.6","98.4"
"","Pelle Larsson","Mia","G","23.8","14","16.1","14.3","10.7","20","0.55","32","0.688","26","0.385","0.638","0.636","6.1","1.9","1.1","0.6","0","0.5","7.9","7.2","9.1","5.8","124.4","103.3"
"","Zach Collins","San","F-C","27","21","14.5","18.2","17.3","31","0.903","61","0.541","34","0.324","0.521","0.584","6","3.4","1.8","0.5","0.5","1","9.4","7.9","11.2","9.2","117.6","99.2"
"","James Wiseman","Ind","C","23.7","1","4.6","45.7","0","2","1","3","0.667","1","0","0.5","0.615","6","1","0","0","0","0","7","6","7","0","124","122.2"
"","Dariq Whitehead","Bro","G-F","20.3","3","8.7","24","21.4","0","0","1","0","10","0.6","0.818","0.818","6","1","0.3","0.7","0.3","1","7","6.3","7.3","5.6","106.8","114.8"
"","Ryan Dunn","Pho","F","21.9","19","17.8","16.1","8.3","8","0.25","39","0.59","71","0.31","0.509","0.502","6","2.7","0.7","0.5","0.5","0.5","8.7","6.7","9.4","5","100.1","103.6"
"","Jamison Battle","Tor","F","23.6","21","14","14.8","6","11","0.818","24","0.625","70","0.414","0.622","0.637","6","2","0.9","0.1","0.2","0.3","8","6.9","9","6.3","130.8","113.1"
"","Ausar Thompson","Det","G-F","21.8","5","15.3","22.4","21.5","7","0.429","20","0.45","9","0.333","0.466","0.468","6","3","2.8","0.4","0.6","1.6","9","8.8","11.8","9.7","96.8","101.7"
"","Lindy Waters III","Gol","F","27.4","17","17.1","13.6","4.2","5","0.8","28","0.536","62","0.355","0.533","0.542","5.9","2.5","1.3","0.5","0.3","0.2","8.4","7.2","9.6","6.3","118.5","104.8"
"","Johnny Juzang","Uta","G","23.7","17","16.3","15.9","9.1","13","0.846","25","0.48","65","0.338","0.5","0.528","5.9","2.2","1.2","0.4","0.2","0.5","8.2","7.1","9.4","6.1","112.4","112.5"
"","Marcus Sasser","Det","G","24.2","15","12.8","18.4","13.7","6","1","40","0.625","29","0.379","0.601","0.621","5.9","1","1.5","0.7","0.1","0.7","6.9","7.4","8.4","6.5","118","111.8"
"","Cam Whitmore","Hou","F","20.4","8","9.9","30.1","5.9","16","0.625","27","0.63","21","0.048","0.385","0.427","5.9","1.4","0.5","0.1","0.1","0.4","7.3","6.4","7.8","6.5","94.5","100.7"
"","Kobe Bufkin","Atl","G","21.2","8","13.4","20.4","15.1","18","0.722","21","0.524","18","0.222","0.436","0.501","5.9","2.3","1.9","0.4","0.3","0.9","8.1","7.8","10","8.8","105.1","113.2"
"","Keon Johnson","Bro","G","22.7","20","16.4","19.2","13.1","9","0.667","44","0.455","75","0.307","0.458","0.468","5.8","2.9","1.1","0.5","0.3","0.9","8.7","6.9","9.8","6.5","92.1","107.1"
"","David Roddy","Atl","F","23.7","13","15.4","13.3","21.5","13","0.846","24","0.708","23","0.435","0.681","0.711","5.8","3","1.5","0.5","0.2","1","8.8","7.2","10.2","7.7","120","112.9"
"","Ben Sheppard","Ind","G","23.4","13","20.9","11.3","7","0","0","19","0.474","47","0.404","0.568","0.568","5.8","2.2","1.3","0.4","0.3","0.4","8","7.1","9.3","4.9","114.9","111.4"
"","Donovan Clingan","Por","C","20.8","17","17","14.6","18.2","22","0.727","67","0.552","9","0.333","0.546","0.578","5.8","6.7","0.3","0.5","2.2","1","12.5","6.1","12.8","5.3","114.3","99.1"
"","KJ Simpson","Cha","G","22.3","5","14.7","21.6","19.8","6","1","13","0.538","15","0.2","0.411","0.473","5.8","2.4","2.6","0.8","0.2","1.4","8.2","8.4","10.8","9","103.9","110.5"
"","Kyle Lowry","Phi","G","38.7","14","23.4","11.2","14.6","19","0.789","15","0.467","49","0.347","0.508","0.553","5.7","2.3","3.1","1.1","0.4","0.8","8","8.9","11.1","5.9","119.5","109.9"
"","KJ Martin","Phi","F","23.9","16","17.5","11.1","9.9","25","0.84","44","0.636","10","0.4","0.63","0.685","5.6","2.6","0.9","0.3","0.8","0.4","8.1","6.5","9.1","5.4","137.9","104.3"
"","Ronald Holland II","Det","F","19.4","23","15.7","18.1","14.8","26","0.808","74","0.581","47","0.149","0.442","0.483","5.6","3.1","0.6","0.5","0.2","0.9","8.7","6.2","9.3","5.6","93.8","105.3"
"","Vasilije Micic","Cha","G","30.9","10","17.9","20.2","20.6","8","0.75","37","0.297","28","0.321","0.377","0.401","5.5","2.9","2.2","0.5","0","1.7","8.4","7.7","10.6","7.3","85.1","112.4"
"","Kevon Looney","Gol","F","28.8","18","15.5","16","16.3","37","0.459","77","0.532","0","0","0.532","0.531","5.5","7.8","1.6","0.9","0.3","0.8","13.3","7.1","14.9","10.6","121.6","89.1"
"","Ja'Kobe Walter","Tor","G","20.2","8","17","18.8","8.4","6","0.5","29","0.448","25","0.2","0.38","0.388","5.5","3.6","1.3","0.5","0.3","0.6","9.1","6.8","10.4","6.9","89.7","105.6"
"","Trey Lyles","Sac","F","29.1","18","19.6","13.2","9.9","14","0.714","25","0.44","66","0.333","0.484","0.504","5.4","3.9","0.9","0.6","0.6","0.6","9.4","6.4","10.3","5.4","106.3","109.8"
"","Ben Simmons","Bro","G-F","28.4","16","24.2","13.4","37.1","6","0.5","71","0.592","0","0","0.592","0.591","5.4","5.8","6.6","0.8","0.5","2.6","11.2","12","17.8","9.8","112","106"
"","Shake Milton","Bro","G","28.2","18","15.7","15.1","12.3","14","0.714","41","0.488","37","0.432","0.564","0.582","5.4","1.4","2.1","0.3","0.1","0.6","6.9","7.5","8.9","6.4","120","117.5"
"","Max Christie","Lal","G","21.8","20","17.9","13.6","13.5","35","0.857","43","0.558","40","0.25","0.47","0.549","5.4","1.9","1","0.7","0.4","0.7","7.3","6.4","8.3","4.9","109.7","114.1"
"","Jarace Walker","Ind","F","21.2","22","18.1","15.6","25.1","29","0.621","46","0.435","52","0.385","0.51","0.533","5.4","3.5","1.5","1.3","0.4","1.5","8.9","6.9","10.4","6.7","93.1","109.3"
"","Mo Bamba","Lac","C","26.6","9","14.5","17.5","14.2","9","0.667","23","0.609","19","0.263","0.512","0.533","5.4","4.2","0.8","0.8","1.3","0.8","9.7","6.2","10.4","7.2","104.1","91.3"
"","Alec Burks","Mia","G","33.4","12","15.1","12.5","4.1","8","0.75","14","0.429","32","0.469","0.62","0.636","5.3","1.9","1.3","0.5","0.3","0.2","7.2","6.6","8.5","6.2","134.7","114.1"
