"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Alex Len","Sac","C","31.5","16","7.3","10.3","22.9","4","0.5","16","0.688","4","0","0.55","0.551","1.5","2","0.7","0.2","0.7","0.4","3.5","2.2","4.2","7","109.7","102.6"
"","Trevelin Queen","Orl","G","27.8","2","2.5","34.6","25","0","0","2","0","1","1","0.5","0.5","1.5","0","0","0","0","0.5","1.5","1.5","1.5","0","0","0"
"","Adam Flagler","Okc","G","25","10","3.4","23.6","0","0","0","1","0","18","0.278","0.395","0.395","1.5","0.5","0","0.2","0","0","2","1.5","2","0","0","0"
"","Jaylen Martin","Bro","G","20.8","2","1.6","14.4","0","0","0","0","0","1","1","1.5","1.5","1.5","0","0","0","0","0","1.5","1.5","1.5","0","0","0"
"","Enrique Freeman","Ind","F","24.3","13","7.9","10.1","14.8","9","0.556","12","0.5","5","0.2","0.441","0.477","1.5","0.8","0.5","0.2","0.2","0.2","2.4","2","2.8","4.3","101.4","109.9"
"","Jordan Walsh","Bos","G","20.8","15","8.9","9.2","10.7","1","0","5","0.6","20","0.25","0.42","0.413","1.4","1.1","0.2","0.3","0.4","0.2","2.5","1.6","2.7","3","89","106.6"
"","AJ Johnson","Mil","G","20","5","2.1","32.9","25","0","0","5","0.4","1","1","0.583","0.583","1.4","0.4","0.2","0","0","0.4","1.8","1.6","2","9.2","0","0"
"","Josh Minott","Min","F","22","8","6.4","11.9","22.7","2","0.5","5","1","5","0","0.5","0.506","1.4","0.8","0.3","0.1","0.3","0.4","2.1","1.6","2.4","4.3","83.9","96.2"
"","James Johnson","Ind","F","37.8","3","3.5","29","42.9","0","0","3","0.667","1","0","0.5","0.5","1.3","0.7","0.7","0","0.3","1","2","2","2.7","9.8","0","0"
"","Zeke Nnaji","Den","F-C","23.9","13","5.2","14.2","4.7","4","0.25","12","0.667","8","0","0.4","0.391","1.3","0.5","0.2","0.1","0.2","0.1","1.8","1.5","2.1","3.9","88.5","113.3"
"","Xavier Tillman","Bos","F","25.9","14","9.5","10.5","12.8","2","0.5","12","0.333","15","0.2","0.315","0.323","1.3","2.1","0.4","0.2","0.2","0.3","3.4","1.7","3.9","4.3","83.4","103.8"
"","Ariel Hukporti","Nyk","C","22.6","9","8.9","10.8","43.9","4","0.5","10","0.5","0","0","0.5","0.51","1.3","1.9","0.4","0","0.9","0.9","3.2","1.8","3.7","4.5","76","99.3"
"","Olivier-Maxence Prosper","Dal","F","22.4","12","5.3","15.4","4.5","3","0.667","17","0.412","4","0","0.333","0.358","1.3","1.3","0.1","0.2","0","0.1","2.6","1.4","2.7","4.2","94.7","107.1"
"","Liam Robbins","Mil","C","25.4","4","4.5","11.6","0","4","0.25","2","1","1","0","0.667","0.525","1.3","0.8","0","0","0","0","2","1.3","2","0","122.3","103.2"
"","Jack McVeigh","Hou","G-F","28.4","6","3.6","22.9","8.3","0","0","3","0.333","8","0.25","0.364","0.364","1.3","0.7","0.2","0","0.2","0.2","2","1.5","2.2","6.3","0","0"
"","Branden Carlson","Okc","C","25.5","3","3.5","27.6","0","2","1","2","0.5","4","0","0.167","0.291","1.3","2","0","0.3","0.3","0","3.3","1.3","3.3","0","0","0"
"","Cory Joseph","Orl","G","33.3","13","3.5","16","11.8","0","0","3","0","12","0.417","0.5","0.5","1.2","0.7","0.7","0.2","0.2","0.2","1.8","1.8","2.5","9.6","0","0"
"","Brandon Williams","Dal","G","25","5","4.3","24.4","17.7","3","0.667","7","0.286","2","0","0.222","0.291","1.2","0.8","0.4","0","0","0.4","2","1.6","2.4","6.8","67.3","107.8"
"","Armel Traore","Lal","F","21.9","5","7.5","12.7","20","2","0","4","0.75","4","0","0.375","0.338","1.2","1.4","0","0.6","0.2","0.4","2.6","1.2","2.6","0","60","98.9"
"","Gui Santos","Gol","F","22.5","6","3.7","14.5","27.7","2","0.5","2","0.5","3","0.333","0.5","0.51","1","1","0.3","0","0","0.3","2","1.3","2.3","7.2","0","0"
"","Mouhamed Gueye","Atl","F","22.1","2","5.7","17.7","20","0","0","2","0.5","2","0","0.25","0.25","1","1","0","0","0","0.5","2","1","2","0","42","120.4"
"","Reece Beekman","Gol","G","23.2","2","2.1","10.1","0","0","0","1","1","0","0","1","1","1","0.5","0.5","0.5","0","0","1.5","1.5","2","12","0","0"
"","Jared Rhoden","Cha","G","25.3","4","2.9","32.5","11.1","0","0","6","0.333","2","0","0.25","0.25","1","1","0.5","0.3","0","0.3","2","1.5","2.5","10.9","0","0"
"","Markieff Morris","Dal","F","35.3","2","4.8","26.4","0","0","0","4","0.25","2","0","0.167","0.167","1","2","1","0","0","0","3","2","4","10.5","59.4","108.8"
"","Cam Spencer","Mem","G","24.7","2","10.5","5.8","33.3","0","0","1","1","1","0","0.5","0.5","1","1","1","0","0.5","0.5","2","2","3","3.8","91.3","107.7"
"","Jaden Springer","Bos","G","22.2","7","3.4","17.7","12.2","4","0.5","5","0.4","2","0","0.286","0.342","0.9","0.9","0.4","0.4","0","0.1","1.7","1.3","2.1","8.1","0","0"
"","Caleb Houstan","Orl","G","21.9","14","4.7","14.4","4.7","2","1","3","0.333","17","0.176","0.275","0.311","0.9","0.5","0","0","0.1","0.1","1.4","0.9","1.4","0","68.4","104"
"","Trey Alexander","Den","G","21.6","8","5.2","12.2","8.7","2","1","4","0.25","6","0.167","0.25","0.322","0.9","0.1","0.3","0","0.1","0.1","1","1.1","1.3","2.3","74.8","115.7"
"","Colby Jones","Sac","G","22.5","13","4.1","14.6","22.2","0","0","9","0.333","5","0.4","0.429","0.429","0.9","0.7","0.2","0.2","0.2","0.3","1.6","1.2","1.8","4.9","82.9","108"
"","D.J. Carton","Tor","G","24.3","4","8.4","14.2","35","1","1","4","0.25","3","0","0.143","0.202","0.8","1","0.8","0.5","0","1","1.8","1.5","2.5","4.1","43.3","116"
"","JD Davison","Bos","G","22.2","4","4.3","22.6","48.7","2","0.5","2","0.5","2","0","0.25","0.307","0.8","0.5","0.3","0.3","0","1","1.3","1","1.5","4.6","40.6","106.7"
"","Baylor Scheierman","Bos","G","24.2","5","6.8","13.9","0","2","1","4","0.25","6","0","0.1","0.184","0.8","1.4","0.4","0.2","0","0","2.2","1.2","2.6","4.5","68.2","104.4"
"","Karlo Matkovic","Nor","F-C","23.7","5","7.7","9.9","44.4","0","0","5","0.4","0","0","0.4","0.4","0.8","2","0","0.6","0.6","0.8","2.8","0.8","2.8","0","71","109.7"
"","Yuki Kawamura","Mem","G","23.6","12","2.9","21.9","23.1","4","0.75","4","0.5","9","0.111","0.269","0.339","0.8","0.2","0.6","0","0","0.3","1","1.4","1.6","6.3","0","0"
"","PJ Dozier","Min","G-F","28.1","5","4.1","8.4","31.1","2","0.5","0","0","2","0.5","0.75","0.694","0.8","1","0.6","0.2","0","0.2","1.8","1.4","2.4","7.6","133.1","95.3"
"","Maxwell Lewis","Lal","F","22.4","5","3.6","12.2","20","0","0","4","0.5","0","0","0.5","0.5","0.8","0.4","0.4","0.2","0","0.2","1.2","1.2","1.6","5.6","0","0"
"","Tristen Newton","Ind","G","23.6","4","1.9","41.6","13.4","1","1","3","0.333","3","0","0.167","0.233","0.8","0","0.3","0","0","0.3","0.8","1","1","0","0","0"
"","Garrett Temple","Tor","G-F","38.6","7","4.1","8.7","16.7","0","0","3","0.333","2","0.5","0.5","0.5","0.7","0.6","0.7","0.6","0.1","0.1","1.3","1.4","2","6.5","119.6","91.2"
"","Bronny James","Lal","G","20.2","6","2.6","19.1","0","2","1","2","0.5","4","0","0.167","0.291","0.7","0.2","0.3","0.2","0","0","0.8","1","1.2","5.3","0","0"
"","Colin Castleton","Mem","C","24.5","6","2.3","8","0","4","1","0","0","1","0","0","0.725","0.7","0.8","0","0","0.2","0","1.5","0.7","1.5","0","0","0"
"","Chris Livingston","Mil","F","21.1","3","2","22","33.3","0","0","2","0.5","0","0","0.5","0.5","0.7","0.7","0.3","0.3","0","0.3","1.3","1","1.7","10.6","0","0"
"","Cui Yongxi","Bro","F","21.5","5","2.1","34.2","0","2","0.5","4","0.25","3","0","0.143","0.19","0.6","0.4","0","0","0","0","1","0.6","1","0","0","0"
"","Sidy Cissoko","San","G","20.7","8","2.9","12.8","16.7","2","0","3","0.333","2","0.5","0.5","0.425","0.6","0.8","0.6","0","0","0.1","1.4","1.3","2","9.1","0","0"
"","Stanley Umude","Mil","G","25.6","5","3.1","10.9","0","2","0","0","0","3","0.333","0.5","0.387","0.6","0.6","0.2","0","0.2","0","1.2","0.8","1.4","5.4","0","0"
"","Dominick Barlow","Atl","F","21.5","2","5.4","7.1","0","2","0.5","1","0","0","0","0","0.266","0.5","0","0","0","0","0","0.5","0.5","0.5","0","63","115.8"
"","Jalen Bridges","Pho","F","23.6","2","5.5","19.6","47.4","2","0.5","0","0","2","0","0","0.174","0.5","0.5","0","0","0","1","1","0.5","1","0","21.8","121.7"
"","PJ Hall","Den","C","22.8","4","2","15.9","0","0","0","1","1","2","0","0.333","0.333","0.5","0","0","0","0","0","0.5","0.5","0.5","0","0","0"
"","Jacob Toppin","Nyk","F","24.6","6","3.3","9","25","0","0","1","1","2","0","0.333","0.333","0.3","0.5","0.3","0","0","0.2","0.8","0.7","1.2","4.3","0","0"
"","Malevy Leons","Okc","F","25.2","6","3.5","9.7","31.1","4","0.5","1","0","1","0","0","0.266","0.3","0.5","0.2","0","0","0.2","0.8","0.5","1","3.6","0","0"
"","Joe Ingles","Min","F-G","37.2","7","3.7","5","33.3","0","0","0","0","2","0","0","0","0","0.3","1.3","0","0","0.1","0.3","1.3","1.6","0","0","0"
"","Jalen Pickett","Den","G","25.1","2","1.9","11.2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Justin Champagnie","Was","G-F","23.4","2","2.3","0","0","0","0","0","0","0","0","0","0","0","1","0.5","0","0","0","1","0.5","1.5","0","0","0"
"","Kessler Edwards","Dal","F","24.3","4","2.2","14.6","33.3","0","0","0","0","2","0","0","0","0","0","0","0","0","0.3","0","0","0","0","0","0"
"","Mac McClung","Orl","G","25.9","1","4.9","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","1","2","3","0","0","111.1"
"","Daniss Jenkins","Det","G","23.3","2","2.5","17.1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Alex Ducas","Okc","G","24","4","1.8","17.5","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Spencer Jones","Den","F","23.5","2","1.9","11.2","0","0","0","0","0","1","0","0","0","0","0.5","0","1","0","0","0.5","0","0.5","0","0","0"
"","Riley Minix","San","F","24.2","1","6.8","6.4","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","2","0","2","0","0","113.2"
"","Harrison Ingram","San","F","22","1","6.8","6.4","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","101.8"
"","Mason Jones","Sac","G","26.4","3","4.2","6.9","0","0","0","0","0","2","0","0","0","0","1.3","2.3","0","0","0","1.3","2.3","3.7","0","133","108.3"
"","Cole Swider","Det","F","25.6","2","6.6","16.3","0","0","0","0","0","5","0","0","0","0","1","0.5","0","0","0","1","0.5","1.5","0","15","110"
"","Justin Minaya","Por","F","25.7","1","6.1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","103.6"
"","Daishen Nix","Min","G","22.8","1","4.5","19.5","100","0","0","0","0","0","0","0","0","0","2","2","0","0","2","2","2","4","0","0","107.4"
